source_short_name,label,svg_group_id,candidate_ontology_id,candidate_ontology_ids,x,y,width,height,source_attributes,confidence,notes
DA-SD,DA-SD,svg_445_6,,[],1499.3684058720658,576.3936431036527,,,"{""data-filter"":""DA-SD"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_445_6""}",0.12,no canonical ontology alias match found
DA-T,DA-T,svg_449_6,,[],1560.6164494212405,560.9154790042044,,,"{""data-filter"":""DA-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_449_6""}",0.12,no canonical ontology alias match found
DAT-SP,DAT-SP,svg_452_6,,[],1560.6164494212405,505.91547900420437,,,"{""data-filter"":""DAT-SP"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_452_6""}",0.12,no canonical ontology alias match found
CLG7-C,CLG7-C,svg_335_6,,[],937.4301645798573,208.27339302074267,,,"{""data-filter"":""CLG7-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_335_6""}",0.12,no canonical ontology alias match found
CLG8-C,CLG8-C,svg_382_6,,[],937.4301645798573,153.27339302074267,,,"{""data-filter"":""CLG8-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_382_6""}",0.12,no canonical ontology alias match found
CLG6-C,CLG6-C,svg_389_6,,[],937.4301645798573,263.2733930207427,,,"{""data-filter"":""CLG6-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_389_6""}",0.12,no canonical ontology alias match found
CLG5-C,CLG5-C,svg_615_6,,[],937.4301645798573,318.2733930207427,,,"{""data-filter"":""CLG5-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_615_6""}",0.12,no canonical ontology alias match found
CLG4-C,CLG4-C,svg_620_6,,[],937.4301645798573,373.2733930207427,,,"{""data-filter"":""CLG4-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_620_6""}",0.12,no canonical ontology alias match found
CLG3-C,CLG3-C,svg_622_6,,[],937.4301645798573,428.2733930207427,,,"{""data-filter"":""CLG3-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_622_6""}",0.12,no canonical ontology alias match found
CLG2-C,CLG2-C,svg_625_6,,[],937.4301645798573,483.2733930207427,,,"{""data-filter"":""CLG2-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_625_6""}",0.12,no canonical ontology alias match found
CLG1-C,CLG1-C,svg_627_6,,[],937.4301645798573,538.2733930207427,,,"{""data-filter"":""CLG1-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_627_6""}",0.12,no canonical ontology alias match found
RH1-C,RH1-C,svg_72_6,,[],1108.697120734981,550.2677174335072,,,"{""data-filter"":""RH1-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_72_6""}",0.12,no canonical ontology alias match found
RH2-C,RH2-C,svg_98_6,,[],1108.697120734981,495.2677174335072,,,"{""data-filter"":""RH2-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_98_6""}",0.12,no canonical ontology alias match found
RH3-C,RH3-C,svg_100_6,,[],1108.697120734981,440.2677174335072,,,"{""data-filter"":""RH3-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_100_6""}",0.12,no canonical ontology alias match found
