source_short_name,ontology_id,candidate_ontology_ids,label,label_group_ids,value_group_ids,device_group_ids,image_selectors,fallback_selectors,related_node_ids,visibility_mode,confidence,notes
RH7-C,,[],RH7-C,"[""svg_288_6""]",[],"[""svg_288_6""]","[""image[href*=\""RH7-C\""]"",""image[xlink\\:href*=\""RH7-C\""]"",""image[href*=\""RH7-C\""]""]","[""g[data-filter=\""RH7-C\""]"",""[short-name=\""RH7-C\""]"",""[sname=\""RH7-C\""]"",""[data-shortname=\""RH7-C\""]"",""[data-point-short-name=\""RH7-C\""]"",""[data-filter*=\""RH7-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RH7-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RH7-C\\\""\""]""]","[""svg_288_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RH8-C,,[],RH8-C,"[""svg_290_6""]",[],"[""svg_290_6""]","[""image[href*=\""RH8-C\""]"",""image[xlink\\:href*=\""RH8-C\""]"",""image[href*=\""RH8-C\""]""]","[""g[data-filter=\""RH8-C\""]"",""[short-name=\""RH8-C\""]"",""[sname=\""RH8-C\""]"",""[data-shortname=\""RH8-C\""]"",""[data-point-short-name=\""RH8-C\""]"",""[data-filter*=\""RH8-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RH8-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RH8-C\\\""\""]""]","[""svg_290_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RH5-C,,[],RH5-C,"[""svg_292_6""]",[],"[""svg_292_6""]","[""image[href*=\""RH5-C\""]"",""image[xlink\\:href*=\""RH5-C\""]"",""image[href*=\""RH5-C\""]""]","[""g[data-filter=\""RH5-C\""]"",""[short-name=\""RH5-C\""]"",""[sname=\""RH5-C\""]"",""[data-shortname=\""RH5-C\""]"",""[data-point-short-name=\""RH5-C\""]"",""[data-filter*=\""RH5-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RH5-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RH5-C\\\""\""]""]","[""svg_292_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RA-F,,[],RA-F,"[""svg_11_6""]",[],"[""svg_11_6""]","[""image[href*=\""RA-F\""]"",""image[xlink\\:href*=\""RA-F\""]"",""image[href*=\""RA-F\""]""]","[""g[data-filter=\""RA-F\""]"",""[short-name=\""RA-F\""]"",""[sname=\""RA-F\""]"",""[data-shortname=\""RA-F\""]"",""[data-point-short-name=\""RA-F\""]"",""[data-filter*=\""RA-F\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RA-F'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RA-F\\\""\""]""]","[""svg_11_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
MOA-F,,[],MOA-F,"[""svg_361_6""]",[],"[""svg_361_6""]","[""image[href*=\""MOA-F\""]"",""image[xlink\\:href*=\""MOA-F\""]"",""image[href*=\""MOA-F\""]""]","[""g[data-filter=\""MOA-F\""]"",""[short-name=\""MOA-F\""]"",""[sname=\""MOA-F\""]"",""[data-shortname=\""MOA-F\""]"",""[data-point-short-name=\""MOA-F\""]"",""[data-filter*=\""MOA-F\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'MOA-F'\""]"",""use[key-data-attr*=\""pointShortName:\\\""MOA-F\\\""\""]""]","[""svg_361_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH1-C,,[],PH1-C,"[""svg_35_6""]",[],"[""svg_35_6""]","[""image[href*=\""PH1-C\""]"",""image[xlink\\:href*=\""PH1-C\""]"",""image[href*=\""PH1-C\""]""]","[""g[data-filter=\""PH1-C\""]"",""[short-name=\""PH1-C\""]"",""[sname=\""PH1-C\""]"",""[data-shortname=\""PH1-C\""]"",""[data-point-short-name=\""PH1-C\""]"",""[data-filter*=\""PH1-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH1-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH1-C\\\""\""]""]","[""svg_35_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH2-C,,[],PH2-C,"[""svg_37_6""]",[],"[""svg_37_6""]","[""image[href*=\""PH2-C\""]"",""image[xlink\\:href*=\""PH2-C\""]"",""image[href*=\""PH2-C\""]""]","[""g[data-filter=\""PH2-C\""]"",""[short-name=\""PH2-C\""]"",""[sname=\""PH2-C\""]"",""[data-shortname=\""PH2-C\""]"",""[data-point-short-name=\""PH2-C\""]"",""[data-filter*=\""PH2-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH2-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH2-C\\\""\""]""]","[""svg_37_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH3-C,,[],PH3-C,"[""svg_39_6""]",[],"[""svg_39_6""]","[""image[href*=\""PH3-C\""]"",""image[xlink\\:href*=\""PH3-C\""]"",""image[href*=\""PH3-C\""]""]","[""g[data-filter=\""PH3-C\""]"",""[short-name=\""PH3-C\""]"",""[sname=\""PH3-C\""]"",""[data-shortname=\""PH3-C\""]"",""[data-point-short-name=\""PH3-C\""]"",""[data-filter*=\""PH3-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH3-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH3-C\\\""\""]""]","[""svg_39_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH4-C,,[],PH4-C,"[""svg_41_6""]",[],"[""svg_41_6""]","[""image[href*=\""PH4-C\""]"",""image[xlink\\:href*=\""PH4-C\""]"",""image[href*=\""PH4-C\""]""]","[""g[data-filter=\""PH4-C\""]"",""[short-name=\""PH4-C\""]"",""[sname=\""PH4-C\""]"",""[data-shortname=\""PH4-C\""]"",""[data-point-short-name=\""PH4-C\""]"",""[data-filter*=\""PH4-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH4-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH4-C\\\""\""]""]","[""svg_41_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH5-C,,[],PH5-C,"[""svg_194_6""]",[],"[""svg_194_6""]","[""image[href*=\""PH5-C\""]"",""image[xlink\\:href*=\""PH5-C\""]"",""image[href*=\""PH5-C\""]""]","[""g[data-filter=\""PH5-C\""]"",""[short-name=\""PH5-C\""]"",""[sname=\""PH5-C\""]"",""[data-shortname=\""PH5-C\""]"",""[data-point-short-name=\""PH5-C\""]"",""[data-filter*=\""PH5-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH5-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH5-C\\\""\""]""]","[""svg_194_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH6-C,,[],PH6-C,"[""svg_212_6""]",[],"[""svg_212_6""]","[""image[href*=\""PH6-C\""]"",""image[xlink\\:href*=\""PH6-C\""]"",""image[href*=\""PH6-C\""]""]","[""g[data-filter=\""PH6-C\""]"",""[short-name=\""PH6-C\""]"",""[sname=\""PH6-C\""]"",""[data-shortname=\""PH6-C\""]"",""[data-point-short-name=\""PH6-C\""]"",""[data-filter*=\""PH6-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH6-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH6-C\\\""\""]""]","[""svg_212_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
