source_short_name,ontology_id,candidate_ontology_ids,label,label_group_ids,value_group_ids,device_group_ids,image_selectors,fallback_selectors,related_node_ids,visibility_mode,confidence,notes
DAP-SP,,[],DAP-SP,"[""svg_203_6""]",[],"[""svg_203_6""]","[""image[href*=\""DAP-SP\""]"",""image[xlink\\:href*=\""DAP-SP\""]"",""image[href*=\""DAP-SP\""]""]","[""g[data-filter=\""DAP-SP\""]"",""[short-name=\""DAP-SP\""]"",""[sname=\""DAP-SP\""]"",""[data-shortname=\""DAP-SP\""]"",""[data-point-short-name=\""DAP-SP\""]"",""[data-filter*=\""DAP-SP\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'DAP-SP'\""]"",""use[key-data-attr*=\""pointShortName:\\\""DAP-SP\\\""\""]""]","[""svg_203_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
SF-S,,[],SF-S,"[""svg_265_6""]",[],"[""svg_265_6""]","[""image[href*=\""SF-S\""]"",""image[xlink\\:href*=\""SF-S\""]"",""image[href*=\""SF-S\""]""]","[""g[data-filter=\""SF-S\""]"",""[short-name=\""SF-S\""]"",""[sname=\""SF-S\""]"",""[data-shortname=\""SF-S\""]"",""[data-point-short-name=\""SF-S\""]"",""[data-filter*=\""SF-S\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'SF-S'\""]"",""use[key-data-attr*=\""pointShortName:\\\""SF-S\\\""\""]""]","[""svg_265_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
SF-C,,[],SF-C,"[""svg_407_6""]",[],"[""svg_407_6""]","[""image[href*=\""SF-C\""]"",""image[xlink\\:href*=\""SF-C\""]"",""image[href*=\""SF-C\""]""]","[""g[data-filter=\""SF-C\""]"",""[short-name=\""SF-C\""]"",""[sname=\""SF-C\""]"",""[data-shortname=\""SF-C\""]"",""[data-point-short-name=\""SF-C\""]"",""[data-filter*=\""SF-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'SF-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""SF-C\\\""\""]""]","[""svg_407_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
SF-O,,[],SF-O,"[""svg_409_6""]",[],"[""svg_409_6""]","[""image[href*=\""SF-O\""]"",""image[xlink\\:href*=\""SF-O\""]"",""image[href*=\""SF-O\""]""]","[""g[data-filter=\""SF-O\""]"",""[short-name=\""SF-O\""]"",""[sname=\""SF-O\""]"",""[data-shortname=\""SF-O\""]"",""[data-point-short-name=\""SF-O\""]"",""[data-filter*=\""SF-O\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'SF-O'\""]"",""use[key-data-attr*=\""pointShortName:\\\""SF-O\\\""\""]""]","[""svg_409_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
LT-A,,[],LT-A,"[""svg_465_6""]",[],"[""svg_465_6""]","[""image[href*=\""LT-A\""]"",""image[xlink\\:href*=\""LT-A\""]"",""image[href*=\""LT-A\""]""]","[""g[data-filter=\""LT-A\""]"",""[short-name=\""LT-A\""]"",""[sname=\""LT-A\""]"",""[data-shortname=\""LT-A\""]"",""[data-point-short-name=\""LT-A\""]"",""[data-filter*=\""LT-A\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'LT-A'\""]"",""use[key-data-attr*=\""pointShortName:\\\""LT-A\\\""\""]""]","[""svg_465_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
MAD-O,,[],MAD-O,"[""svg_34""]",[],"[""svg_34""]","[""image[href*=\""MAD-O\""]"",""image[xlink\\:href*=\""MAD-O\""]"",""image[href*=\""MAD-O\""]""]","[""g[data-filter=\""MAD-O\""]"",""[short-name=\""MAD-O\""]"",""[sname=\""MAD-O\""]"",""[data-shortname=\""MAD-O\""]"",""[data-point-short-name=\""MAD-O\""]"",""[data-filter*=\""MAD-O\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'MAD-O'\""]"",""use[key-data-attr*=\""pointShortName:\\\""MAD-O\\\""\""]""]","[""svg_34""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
OA-F,,[],OA-F,"[""svg_157""]",[],"[""svg_157""]","[""image[href*=\""OA-F\""]"",""image[xlink\\:href*=\""OA-F\""]"",""image[href*=\""OA-F\""]""]","[""g[data-filter=\""OA-F\""]"",""[short-name=\""OA-F\""]"",""[sname=\""OA-F\""]"",""[data-shortname=\""OA-F\""]"",""[data-point-short-name=\""OA-F\""]"",""[data-filter*=\""OA-F\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'OA-F'\""]"",""use[key-data-attr*=\""pointShortName:\\\""OA-F\\\""\""]""]","[""svg_157""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
MOAD-S,,[],MOAD-S,"[""svg_169""]",[],"[""svg_169""]","[""image[href*=\""MOAD-S\""]"",""image[xlink\\:href*=\""MOAD-S\""]"",""image[href*=\""MOAD-S\""]""]","[""g[data-filter=\""MOAD-S\""]"",""[short-name=\""MOAD-S\""]"",""[sname=\""MOAD-S\""]"",""[data-shortname=\""MOAD-S\""]"",""[data-point-short-name=\""MOAD-S\""]"",""[data-filter*=\""MOAD-S\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'MOAD-S'\""]"",""use[key-data-attr*=\""pointShortName:\\\""MOAD-S\\\""\""]""]","[""svg_169""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
MOAD-C,,[],MOAD-C,"[""svg_171""]",[],"[""svg_171""]","[""image[href*=\""MOAD-C\""]"",""image[xlink\\:href*=\""MOAD-C\""]"",""image[href*=\""MOAD-C\""]""]","[""g[data-filter=\""MOAD-C\""]"",""[short-name=\""MOAD-C\""]"",""[sname=\""MOAD-C\""]"",""[data-shortname=\""MOAD-C\""]"",""[data-point-short-name=\""MOAD-C\""]"",""[data-filter*=\""MOAD-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'MOAD-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""MOAD-C\\\""\""]""]","[""svg_171""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
MOA-F,,[],MOA-F,"[""svg_173""]",[],"[""svg_173""]","[""image[href*=\""MOA-F\""]"",""image[xlink\\:href*=\""MOA-F\""]"",""image[href*=\""MOA-F\""]""]","[""g[data-filter=\""MOA-F\""]"",""[short-name=\""MOA-F\""]"",""[sname=\""MOA-F\""]"",""[data-shortname=\""MOA-F\""]"",""[data-point-short-name=\""MOA-F\""]"",""[data-filter*=\""MOA-F\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'MOA-F'\""]"",""use[key-data-attr*=\""pointShortName:\\\""MOA-F\\\""\""]""]","[""svg_173""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
MA-T,,[],MA-T,"[""svg_378""]",[],"[""svg_378""]","[""image[href*=\""MA-T\""]"",""image[xlink\\:href*=\""MA-T\""]"",""image[href*=\""MA-T\""]""]","[""g[data-filter=\""MA-T\""]"",""[short-name=\""MA-T\""]"",""[sname=\""MA-T\""]"",""[data-shortname=\""MA-T\""]"",""[data-point-short-name=\""MA-T\""]"",""[data-filter*=\""MA-T\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'MA-T'\""]"",""use[key-data-attr*=\""pointShortName:\\\""MA-T\\\""\""]""]","[""svg_378""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH1-C,,[],PH1-C,"[""svg_380""]",[],"[""svg_380""]","[""image[href*=\""PH1-C\""]"",""image[xlink\\:href*=\""PH1-C\""]"",""image[href*=\""PH1-C\""]""]","[""g[data-filter=\""PH1-C\""]"",""[short-name=\""PH1-C\""]"",""[sname=\""PH1-C\""]"",""[data-shortname=\""PH1-C\""]"",""[data-point-short-name=\""PH1-C\""]"",""[data-filter*=\""PH1-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH1-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH1-C\\\""\""]""]","[""svg_380""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH2-C,,[],PH2-C,"[""svg_382""]",[],"[""svg_382""]","[""image[href*=\""PH2-C\""]"",""image[xlink\\:href*=\""PH2-C\""]"",""image[href*=\""PH2-C\""]""]","[""g[data-filter=\""PH2-C\""]"",""[short-name=\""PH2-C\""]"",""[sname=\""PH2-C\""]"",""[data-shortname=\""PH2-C\""]"",""[data-point-short-name=\""PH2-C\""]"",""[data-filter*=\""PH2-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH2-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH2-C\\\""\""]""]","[""svg_382""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH3-C,,[],PH3-C,"[""svg_384""]",[],"[""svg_384""]","[""image[href*=\""PH3-C\""]"",""image[xlink\\:href*=\""PH3-C\""]"",""image[href*=\""PH3-C\""]""]","[""g[data-filter=\""PH3-C\""]"",""[short-name=\""PH3-C\""]"",""[sname=\""PH3-C\""]"",""[data-shortname=\""PH3-C\""]"",""[data-point-short-name=\""PH3-C\""]"",""[data-filter*=\""PH3-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH3-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH3-C\\\""\""]""]","[""svg_384""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH4-C,,[],PH4-C,"[""svg_386""]",[],"[""svg_386""]","[""image[href*=\""PH4-C\""]"",""image[xlink\\:href*=\""PH4-C\""]"",""image[href*=\""PH4-C\""]""]","[""g[data-filter=\""PH4-C\""]"",""[short-name=\""PH4-C\""]"",""[sname=\""PH4-C\""]"",""[data-shortname=\""PH4-C\""]"",""[data-point-short-name=\""PH4-C\""]"",""[data-filter*=\""PH4-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH4-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH4-C\\\""\""]""]","[""svg_386""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH5-C,,[],PH5-C,"[""svg_388""]",[],"[""svg_388""]","[""image[href*=\""PH5-C\""]"",""image[xlink\\:href*=\""PH5-C\""]"",""image[href*=\""PH5-C\""]""]","[""g[data-filter=\""PH5-C\""]"",""[short-name=\""PH5-C\""]"",""[sname=\""PH5-C\""]"",""[data-shortname=\""PH5-C\""]"",""[data-point-short-name=\""PH5-C\""]"",""[data-filter*=\""PH5-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH5-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH5-C\\\""\""]""]","[""svg_388""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH6-C,,[],PH6-C,"[""svg_390""]",[],"[""svg_390""]","[""image[href*=\""PH6-C\""]"",""image[xlink\\:href*=\""PH6-C\""]"",""image[href*=\""PH6-C\""]""]","[""g[data-filter=\""PH6-C\""]"",""[short-name=\""PH6-C\""]"",""[sname=\""PH6-C\""]"",""[data-shortname=\""PH6-C\""]"",""[data-point-short-name=\""PH6-C\""]"",""[data-filter*=\""PH6-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH6-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH6-C\\\""\""]""]","[""svg_390""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH7-C,,[],PH7-C,"[""svg_392""]",[],"[""svg_392""]","[""image[href*=\""PH7-C\""]"",""image[xlink\\:href*=\""PH7-C\""]"",""image[href*=\""PH7-C\""]""]","[""g[data-filter=\""PH7-C\""]"",""[short-name=\""PH7-C\""]"",""[sname=\""PH7-C\""]"",""[data-shortname=\""PH7-C\""]"",""[data-point-short-name=\""PH7-C\""]"",""[data-filter*=\""PH7-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH7-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH7-C\\\""\""]""]","[""svg_392""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH8-C,,[],PH8-C,"[""svg_394""]",[],"[""svg_394""]","[""image[href*=\""PH8-C\""]"",""image[xlink\\:href*=\""PH8-C\""]"",""image[href*=\""PH8-C\""]""]","[""g[data-filter=\""PH8-C\""]"",""[short-name=\""PH8-C\""]"",""[sname=\""PH8-C\""]"",""[data-shortname=\""PH8-C\""]"",""[data-point-short-name=\""PH8-C\""]"",""[data-filter*=\""PH8-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH8-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH8-C\\\""\""]""]","[""svg_394""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH-T,,[],PH-T,"[""svg_375""]",[],"[""svg_375""]","[""image[href*=\""PH-T\""]"",""image[xlink\\:href*=\""PH-T\""]"",""image[href*=\""PH-T\""]""]","[""g[data-filter=\""PH-T\""]"",""[short-name=\""PH-T\""]"",""[sname=\""PH-T\""]"",""[data-shortname=\""PH-T\""]"",""[data-point-short-name=\""PH-T\""]"",""[data-filter*=\""PH-T\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH-T'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH-T\\\""\""]""]","[""svg_375""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
LT-A,,[],LT-A,"[""svg_434""]",[],"[""svg_434""]","[""image[href*=\""LT-A\""]"",""image[xlink\\:href*=\""LT-A\""]"",""image[href*=\""LT-A\""]""]","[""g[data-filter=\""LT-A\""]"",""[short-name=\""LT-A\""]"",""[sname=\""LT-A\""]"",""[data-shortname=\""LT-A\""]"",""[data-point-short-name=\""LT-A\""]"",""[data-filter*=\""LT-A\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'LT-A'\""]"",""use[key-data-attr*=\""pointShortName:\\\""LT-A\\\""\""]""]","[""svg_434""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
CLG1-C,,[],CLG1-C,"[""svg_438""]",[],"[""svg_438""]","[""image[href*=\""CLG1-C\""]"",""image[xlink\\:href*=\""CLG1-C\""]"",""image[href*=\""CLG1-C\""]""]","[""g[data-filter=\""CLG1-C\""]"",""[short-name=\""CLG1-C\""]"",""[sname=\""CLG1-C\""]"",""[data-shortname=\""CLG1-C\""]"",""[data-point-short-name=\""CLG1-C\""]"",""[data-filter*=\""CLG1-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'CLG1-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""CLG1-C\\\""\""]""]","[""svg_438""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
CLG2-C,,[],CLG2-C,"[""svg_440""]",[],"[""svg_440""]","[""image[href*=\""CLG2-C\""]"",""image[xlink\\:href*=\""CLG2-C\""]"",""image[href*=\""CLG2-C\""]""]","[""g[data-filter=\""CLG2-C\""]"",""[short-name=\""CLG2-C\""]"",""[sname=\""CLG2-C\""]"",""[data-shortname=\""CLG2-C\""]"",""[data-point-short-name=\""CLG2-C\""]"",""[data-filter*=\""CLG2-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'CLG2-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""CLG2-C\\\""\""]""]","[""svg_440""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
CLG3-C,,[],CLG3-C,"[""svg_442""]",[],"[""svg_442""]","[""image[href*=\""CLG3-C\""]"",""image[xlink\\:href*=\""CLG3-C\""]"",""image[href*=\""CLG3-C\""]""]","[""g[data-filter=\""CLG3-C\""]"",""[short-name=\""CLG3-C\""]"",""[sname=\""CLG3-C\""]"",""[data-shortname=\""CLG3-C\""]"",""[data-point-short-name=\""CLG3-C\""]"",""[data-filter*=\""CLG3-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'CLG3-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""CLG3-C\\\""\""]""]","[""svg_442""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
CLG4-C,,[],CLG4-C,"[""svg_444""]",[],"[""svg_444""]","[""image[href*=\""CLG4-C\""]"",""image[xlink\\:href*=\""CLG4-C\""]"",""image[href*=\""CLG4-C\""]""]","[""g[data-filter=\""CLG4-C\""]"",""[short-name=\""CLG4-C\""]"",""[sname=\""CLG4-C\""]"",""[data-shortname=\""CLG4-C\""]"",""[data-point-short-name=\""CLG4-C\""]"",""[data-filter*=\""CLG4-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'CLG4-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""CLG4-C\\\""\""]""]","[""svg_444""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
CLG5-C,,[],CLG5-C,"[""svg_446""]",[],"[""svg_446""]","[""image[href*=\""CLG5-C\""]"",""image[xlink\\:href*=\""CLG5-C\""]"",""image[href*=\""CLG5-C\""]""]","[""g[data-filter=\""CLG5-C\""]"",""[short-name=\""CLG5-C\""]"",""[sname=\""CLG5-C\""]"",""[data-shortname=\""CLG5-C\""]"",""[data-point-short-name=\""CLG5-C\""]"",""[data-filter*=\""CLG5-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'CLG5-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""CLG5-C\\\""\""]""]","[""svg_446""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
CLG6-C,,[],CLG6-C,"[""svg_448""]",[],"[""svg_448""]","[""image[href*=\""CLG6-C\""]"",""image[xlink\\:href*=\""CLG6-C\""]"",""image[href*=\""CLG6-C\""]""]","[""g[data-filter=\""CLG6-C\""]"",""[short-name=\""CLG6-C\""]"",""[sname=\""CLG6-C\""]"",""[data-shortname=\""CLG6-C\""]"",""[data-point-short-name=\""CLG6-C\""]"",""[data-filter*=\""CLG6-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'CLG6-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""CLG6-C\\\""\""]""]","[""svg_448""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
CLG7-C,,[],CLG7-C,"[""svg_450""]",[],"[""svg_450""]","[""image[href*=\""CLG7-C\""]"",""image[xlink\\:href*=\""CLG7-C\""]"",""image[href*=\""CLG7-C\""]""]","[""g[data-filter=\""CLG7-C\""]"",""[short-name=\""CLG7-C\""]"",""[sname=\""CLG7-C\""]"",""[data-shortname=\""CLG7-C\""]"",""[data-point-short-name=\""CLG7-C\""]"",""[data-filter*=\""CLG7-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'CLG7-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""CLG7-C\\\""\""]""]","[""svg_450""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
CLG8-C,,[],CLG8-C,"[""svg_452""]",[],"[""svg_452""]","[""image[href*=\""CLG8-C\""]"",""image[xlink\\:href*=\""CLG8-C\""]"",""image[href*=\""CLG8-C\""]""]","[""g[data-filter=\""CLG8-C\""]"",""[short-name=\""CLG8-C\""]"",""[sname=\""CLG8-C\""]"",""[data-shortname=\""CLG8-C\""]"",""[data-point-short-name=\""CLG8-C\""]"",""[data-filter*=\""CLG8-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'CLG8-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""CLG8-C\\\""\""]""]","[""svg_452""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RH1-C,,[],RH1-C,"[""svg_454""]",[],"[""svg_454""]","[""image[href*=\""RH1-C\""]"",""image[xlink\\:href*=\""RH1-C\""]"",""image[href*=\""RH1-C\""]""]","[""g[data-filter=\""RH1-C\""]"",""[short-name=\""RH1-C\""]"",""[sname=\""RH1-C\""]"",""[data-shortname=\""RH1-C\""]"",""[data-point-short-name=\""RH1-C\""]"",""[data-filter*=\""RH1-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RH1-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RH1-C\\\""\""]""]","[""svg_454""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RH2-C,,[],RH2-C,"[""svg_456""]",[],"[""svg_456""]","[""image[href*=\""RH2-C\""]"",""image[xlink\\:href*=\""RH2-C\""]"",""image[href*=\""RH2-C\""]""]","[""g[data-filter=\""RH2-C\""]"",""[short-name=\""RH2-C\""]"",""[sname=\""RH2-C\""]"",""[data-shortname=\""RH2-C\""]"",""[data-point-short-name=\""RH2-C\""]"",""[data-filter*=\""RH2-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RH2-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RH2-C\\\""\""]""]","[""svg_456""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RH3-C,,[],RH3-C,"[""svg_458""]",[],"[""svg_458""]","[""image[href*=\""RH3-C\""]"",""image[xlink\\:href*=\""RH3-C\""]"",""image[href*=\""RH3-C\""]""]","[""g[data-filter=\""RH3-C\""]"",""[short-name=\""RH3-C\""]"",""[sname=\""RH3-C\""]"",""[data-shortname=\""RH3-C\""]"",""[data-point-short-name=\""RH3-C\""]"",""[data-filter*=\""RH3-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RH3-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RH3-C\\\""\""]""]","[""svg_458""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RH4-C,,[],RH4-C,"[""svg_460""]",[],"[""svg_460""]","[""image[href*=\""RH4-C\""]"",""image[xlink\\:href*=\""RH4-C\""]"",""image[href*=\""RH4-C\""]""]","[""g[data-filter=\""RH4-C\""]"",""[short-name=\""RH4-C\""]"",""[sname=\""RH4-C\""]"",""[data-shortname=\""RH4-C\""]"",""[data-point-short-name=\""RH4-C\""]"",""[data-filter*=\""RH4-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RH4-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RH4-C\\\""\""]""]","[""svg_460""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
