control_panel,source_visio_page,trunk_name,trunk_type,child_device,location,notes
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.14,SUITE 12 03.15.02,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.15,SUITE 13 03.16.01,Additional location ref: SUITE 14 03.16.02
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.17,SUITE 14 03.16.02,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.16,,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.13,SUITE 11 03.15.01,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.43,STAIR 03.ST-1,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.38,LOGE CLUB 03.03.02,Additional location ref: SUITE 16 03.17.01
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.19,SUITE 17 03.18.01,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.18,,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.20,SUITE 18 03.18.02,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.25,TR 03.21.05,Additional location ref: QE 03.21.04
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.26,STORAGE 03.22.01,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.23,,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.22,SUITE SERVING PANTRY 03.20.03,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.27,,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.21,SUITE LOUNGE 03.19.01,fROM: Area 3-D FCU 1.41 | Additional location ref: STORAGE 03.22.01
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.24,SUITE CORRIDOR 03.14.04,Additional location ref: QE 03.11.01
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.40,STAFF CORRIDOR,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.12,SUITE 10 03.14.02,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.45,STAIR 03.ST-3,To: Area 3-B | To: Area 3-C
