control_panel,source_visio_page,trunk_name,trunk_type,child_device,location,notes
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,KEF-4,EXTERIOR ROOF,
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,SEF-11-VFD,EXTERIOR ROOF,
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,SEF-10-VFD,EXTERIOR ROOF,
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,SEF-9-VFD,EXTERIOR ROOF,Additional location ref: EXTERIOR ROOF
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,KEF-8,EXTERIOR ROOF,AREA 3-D
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,SEF-8-VFD,,
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,KEF-7,EXTERIOR ROOF,
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 3.36,LARGE SUITE 03.01.01,
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 3.35,03 SUITE 03.32.01,
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 3.34,02 SUITE 03.31.02,
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 3.33,01 SUITE 03.31.01,
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 3.32,SUITE LOUNGE 03.28.01,Additional location ref: SUITE SERVING PANTRY 03.27.02
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 3.31,ELEVATOR CTRL 01.22.06,
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 3.30,,
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 1.41,SUITE CORRIDOR,
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 3.28,TR 03.27.03,Additional location ref: STAIR 03.ST-4
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 3.29,SUITE CORRIDOR 03.01.03,
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 3.42,,
CP-12,CP-12 AHU-13 (1 of 2),MS/TP Trunk-1,MS/TP,CP-2 CHWS,,To: Area 1-c | To: Area 1-B | To: Area 3-a
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.1,LARGE SUITE 03.01.01,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.2,06 SUITE 03.01.02,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.3,07 SUITE 03.02.01,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.4,08 SUITE 03.02.02,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.5,09 SUITE 03.03.01,Additional location ref: SUITE CORRIDOR 03.01.03
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.7,QE 03.05.03,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.6,,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.9,,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.39,LOGE CLUB 03.03.02,Additional location ref: STAIR 03.ST-2
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.8,TR 03.06.02,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.44,,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.11,SUITE CORRIDOR 03.14.04,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.10,PANTRY 03.12.02,
CP-12,CP-12 AHU-13 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 3.37,TR 03.12.01,
