control_panel,source_visio_page,trunk_name,trunk_type,child_device,location,notes
CP-3,CP-3 AHU-7,MS/TP Trunk-1,MS/TP,FCU 2.7,MARKET KITCHEN 02.20.02,Visio internal title block still shows CP-6; revised page title used here. | Additional location ref: QE 02.21.01
CP-3,CP-3 AHU-7,MS/TP Trunk-1,MS/TP,FCU 2.9,TR 02.21.02,Visio internal title block still shows CP-6; revised page title used here.
CP-3,CP-3 AHU-7,MS/TP Trunk-1,MS/TP,FCU 2.8,,Visio internal title block still shows CP-6; revised page title used here.
CP-3,CP-3 AHU-7,MS/TP Trunk-1,MS/TP,FCU 2.5,MARKET KITCHEN 02.12.02,Visio internal title block still shows CP-6; revised page title used here. | To: Area 2-A | To: Area 2-b | To: Area 2-c
CP-4,CP-4 AHU-5,MS/TP Trunk-1,MS/TP,KEF-5,EXTERIOR ROOF,
CP-4,CP-4 AHU-5,MS/TP Trunk-1,MS/TP,FACTORY CTRL AHU-1,EXTERIOR ROOF,
CP-4,CP-4 AHU-5,MS/TP Trunk-1,MS/TP,PF-1 VFD,EXTERIOR ROOF,
CP-4,CP-4 AHU-5,MS/TP Trunk-1,MS/TP,SEF-1-VFD,EXTERIOR ROOF,
CP-4,CP-4 AHU-5,MS/TP Trunk-1,MS/TP,SEF-2-VFD,EXTERIOR ROOF,
CP-4,CP-4 AHU-5,MS/TP Trunk-1,MS/TP,SEF-3-VFD,EXTERIOR ROOF,
CP-4,CP-4 AHU-5,MS/TP Trunk-1,MS/TP,PF-2 VFD,EXTERIOR ROOF,
CP-4,CP-4 AHU-5,MS/TP Trunk-1,MS/TP,FACTORY CTRL AHU-2,EXTERIOR ROOF,
CP-5,CP-5 AHU-6,MS/TP Trunk-1,MS/TP,FACTORY CTRL AHU-3,EXTERIOR ROOF,
CP-5,CP-5 AHU-6,MS/TP Trunk-1,MS/TP,PF-3 VFD,EXTERIOR ROOF,
CP-5,CP-5 AHU-6,MS/TP Trunk-1,MS/TP,SEF-7-VFD,EXTERIOR ROOF,
CP-5,CP-5 AHU-6,MS/TP Trunk-1,MS/TP,SEF-6-VFD,EXTERIOR ROOF,
CP-5,CP-5 AHU-6,MS/TP Trunk-1,MS/TP,SEF-5-VFD,EXTERIOR ROOF,
CP-5,CP-5 AHU-6,MS/TP Trunk-1,MS/TP,SEF-4-VFD,EXTERIOR ROOF,
CP-5,CP-5 AHU-6,MS/TP Trunk-1,MS/TP,PF-4 VFD,EXTERIOR ROOF,
CP-5,CP-5 AHU-6,MS/TP Trunk-1,MS/TP,FACTORY CTRL AHU-4,EXTERIOR ROOF,
CP-6,CP-6 CT,MS/TP Trunk-1,MS/TP,CP-3,,Visio internal title block still shows CP-3; revised page title used here.
CP-6,CP-6 CT,MS/TP Trunk-1,MS/TP,CP-3 CT,,Visio internal title block still shows CP-3; revised page title used here.
CP-6,CP-6 CT,MS/TP Trunk-1,MS/TP,CT-1-VFD,FIELD VERIFY,Visio internal title block still shows CP-3; revised page title used here.
CP-6,CP-6 CT,MS/TP Trunk-1,MS/TP,CT-2-VFD,FIELD VERIFY,Visio internal title block still shows CP-3; revised page title used here.
CP-6,CP-6 CT,MS/TP Trunk-1,MS/TP,CT-3-VFD,FIELD VERIFY,Visio internal title block still shows CP-3; revised page title used here.
CP-6,CP-6 CT,MS/TP Trunk-1,MS/TP,FM-1,FIELD VERIFY,Visio internal title block still shows CP-3; revised page title used here.
CP-6,CP-6 CT,MS/TP Trunk-1,MS/TP,FM-2,FIELD VERIFY,Visio internal title block still shows CP-3; revised page title used here.
CP-8,CP-8 AHU-9,MS/TP Trunk-1,MS/TP,SEF-12-VFD,EXERIOR ROOF,
CP-8,CP-8 AHU-9,MS/TP Trunk-1,MS/TP,SEF-13-VFD,EXERIOR ROOF,
CP-8,CP-8 AHU-9,MS/TP Trunk-1,MS/TP,SEF-14-VFD,EXERIOR ROOF,
CP-8,CP-8 AHU-9,MS/TP Trunk-1,MS/TP,SEF-15-VFD,EXERIOR ROOF,
CP-8,CP-8 AHU-9,MS/TP Trunk-1,MS/TP,KEF-6,EXERIOR ROOF,To: Area 3-A
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 1.29,GRAND HALL VESTIBULE 01.03.06,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 1.37,MARKET 01.02.05,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-16,CHAIR STORAGE 01.03.01,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 1.42,CHAIR/COURT STORAGE 01.03.01,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-14,BALLROOM 01.02.03,Additional location ref: BALLROOM 01.01.02
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-17,SERVICE CORRIDOR 01.32.02,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-13,,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 1.36,DAS 01.30.01,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 1.32,VIDEO PRODUCTION 01.31.01,Additional location ref: SERVICE CORRIDOR 01.32.02
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-11,BALLROOM 01.31.02,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-10,,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 1.26,MDF 01.29.02,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-8,BALLROOM 01.29.03,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-9,BALLROOM 01.30.03,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-18,KITCHEN OFFICES 01.26.02,
