Invoice List by Date,,,,,,,,
The Controls Company,,,,,,,,
"April, 2020-December, 2025",,,,,,,,

Date,Transaction type,Num,Name,Location full name,Memo,Due date,Amount,Open balance
11/08/2022,Invoice,J058,Johnson Controls:GCMC Breakfast Point,,,12/08/2022,"6,459.00",0.00
11/08/2022,Invoice,J059,Johnson Controls:West Florida FSER,,4965263 Retainage paid in full,12/08/2022,"3,221.00",0.00
11/17/2022,Invoice,J060,Johnson Controls:Perdido FSER,,,12/17/2022,"3,222.00",0.00
11/17/2022,Invoice,J061,Johnson Controls:GCRMC Cardiac Services,,,12/17/2022,"5,000.00",0.00
11/17/2022,Invoice,J062,Johnson Controls:GCMC Breakfast Point,,,12/17/2022,"6,461.00",0.00
11/17/2022,Invoice,S066,Siemens Industry:Pace K-8,,,12/17/2022,"2,500.00",0.00
11/17/2022,Invoice,S067,Siemens Industry:NAS Sally repairs,,,12/17/2022,500.00,0.00
11/17/2022,Invoice,S068,Siemens Industry:UWF Bldg 58,,,12/17/2022,"6,000.00",0.00
11/17/2022,Invoice,S069,Siemens Industry:Hobbs Phase 2,,,12/17/2022,"3,500.00",0.00
12/07/2022,Invoice,S065,Siemens Industry:UWF Bldg 58,,,01/06/2023,"4,000.00",0.00
12/13/2022,Invoice,T008,Trane U.S. Inc.:Hurlburt Help,,,01/12/2023,"3,000.00",0.00
12/13/2022,Invoice,J063,Johnson Controls:GCMC Breakfast Point,,,01/12/2023,"6,459.00",0.00
12/13/2022,Invoice,J064,Johnson Controls:Portico,,158 unpaid in retainage 12/31/23,01/12/2023,"3,160.00",0.00
12/13/2022,Invoice,J065,Johnson Controls:GCRMC Cardiac Services,,,01/12/2023,"5,000.00",0.00
12/13/2022,Invoice,J066,Johnson Controls:FWB Addition,,,01/12/2023,"8,532.00",0.00
12/13/2022,Invoice,S070,Siemens Industry:Spanish Fort Elementary,,,01/12/2023,"2,500.00",0.00
12/13/2022,Invoice,S071,Siemens Industry:Pace K-8,,,01/12/2023,"2,000.00",0.00
12/13/2022,Invoice,S072,Siemens Industry:NAS Sally repairs,,,01/12/2023,"1,200.00",0.00
12/13/2022,Invoice,S073,Siemens Industry:UWF Bldg 58,,,01/12/2023,"1,950.00",0.00
12/13/2022,Invoice,S074,Siemens Industry:Hobbs Phase 2,,,01/12/2023,"5,000.00",0.00
12/13/2022,Invoice,T007,Trane U.S. Inc.:Eglin Cyberspace,,,01/12/2023,"26,700.00",0.00
01/01/2023,Invoice,J054.1,Johnson Controls:Portico,,,01/31/2023,235.58,0.00
01/10/2023,Invoice,S075,Siemens Industry:Spanish Fort Elementary,,,02/09/2023,"2,500.00",0.00
01/10/2023,Invoice,S076,Siemens Industry:Pace K-8,,,02/09/2023,"3,000.00",0.00
01/10/2023,Invoice,S077,Siemens Industry:Orange Beach Elementary,,,02/09/2023,"2,500.00",0.00
01/10/2023,Invoice,S079,Siemens Industry:Elberta High School,,,02/09/2023,"1,200.00",0.00
01/10/2023,Invoice,S080,Siemens Industry:UWF Bld 54,,,02/09/2023,"1,200.00",0.00
01/10/2023,Invoice,S081,Siemens Industry:Hobbs Phase 2,,,02/09/2023,"7,000.00",0.00
01/10/2023,Invoice,S078,Siemens Industry:NAS Package 1,,,02/09/2023,"2,000.00",0.00
01/17/2023,Invoice,J067,Johnson Controls:Portico,,4949045 158 unpaid retainage 12/31/23,02/16/2023,"3,160.00",0.00
01/17/2023,Invoice,J068,Johnson Controls:GCRMC Cardiac Services,,,02/16/2023,"10,333.00",0.00
01/17/2023,Invoice,J070,Johnson Controls:MSU Ice Plant,,,02/16/2023,"1,500.00",0.00
01/17/2023,Invoice,J071,Johnson Controls:Jackson Academy,,,02/16/2023,"1,500.00",0.00
01/17/2023,Invoice,J072,Johnson Controls:UMC Neuro,,,02/16/2023,"1,500.00",0.00
01/19/2023,Invoice,T009,Trane U.S. Inc.:NOMC MRI Addition,,,02/18/2023,"11,059.00",0.00
02/14/2023,Invoice,J074,Johnson Controls:FWB Hospital,,,03/16/2023,"21,000.00",0.00
02/14/2023,Invoice,J075,Johnson Controls:FWB AHU 34,,,03/16/2023,"9,100.00",0.00
02/14/2023,Invoice,J076,Johnson Controls:Twin Cities Hospital,,361.60 unpaid retainage 12/31/23,03/16/2023,"3,616.00",0.00
02/14/2023,Invoice,S083,Siemens Industry:NAS Sally repairs,,,03/16/2023,"3,000.00",0.00
02/14/2023,Invoice,S084,Siemens Industry:UWF Bld 54,,,03/16/2023,"2,000.00",0.00
02/14/2023,Invoice,S085,Siemens Industry:Hobbs Phase 2,,,03/16/2023,"4,500.00",0.00
02/14/2023,Invoice,T010,Trane U.S. Inc.:Eglin Cyberspace,,,03/16/2023,"10,000.00",0.00
02/14/2023,Invoice,T011,Trane U.S. Inc.:Navy Fed Warehouse,,,03/16/2023,"4,500.00",0.00
02/14/2023,Invoice,T012,Trane U.S. Inc.:Emerald Coast Learning Center,,,03/16/2023,"8,900.00",0.00
02/14/2023,Invoice,J073,Johnson Controls:GCRMC Cardiac Services,,,03/16/2023,"10,000.00",0.00
02/21/2023,Invoice,J069,Johnson Controls:GCMC Breakfast Point,,,03/23/2023,"6,459.00",0.00
03/11/2023,Invoice,J077,Johnson Controls:GCRMC Cardiac Services,,,04/10/2023,"10,000.00",0.00
03/11/2023,Invoice,J078,Johnson Controls:FWB Addition,,,04/10/2023,"11,000.00",0.00
03/11/2023,Invoice,J079,Johnson Controls:Twin Cities Hospital,,Invoice needs to be deleted,04/10/2023,"5,682.60",0.00
03/11/2023,Invoice,S086,Siemens Industry:Spanish Fort Elementary,,,04/10/2023,"4,000.00",0.00
03/11/2023,Invoice,S087,Siemens Industry:NAS Package 1,,,04/10/2023,"3,500.00",0.00
03/11/2023,Invoice,S088,Siemens Industry:UWF Bld 54,,,04/10/2023,"2,000.00",0.00
